YEAR,MONTH,DAY,HOUR,MINUTE,CAUSE,VALIDITY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,REGION_CODE,COUNTRY,Contenient,LOCATION,LATITUDE,LONGITUDE,MAXIMUM_HEIGHT,MAGNITUDE_ABE,MAGNITUDE_IIDA,INTENSITY_SOLOVIEV,WARNING_STATUS,MISSING,MISSING_ESTIMATE,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE,ALL_MISSING,MISSING_TOTAL,ALL_INJURIES,INJURY_TOTAL,ALL_FATALITIES,FATALITY_TOTAL,ALL_DAMAGE_MILLIONS,DAMAGE_TOTAL,ALL_HOUSES_DAMAGED,HOUSE_DAMAGE_TOTAL,ALL_HOUSES_DESTROYED,HOUSE_DESTRUCTION_TOTAL
2000,1,26,,,9,-1,0,,84,PHILIPPINES,Asia,"TAWI-TAWI, PHILIPPINES",5.1,120.15,20,,,,,,3,,,,,,3,,,300,3,,,,3,,,,3,,,300,3
2000,4,5,4,36,1,2,38,5.5,50,GREECE,Europe,CRETE,34.22,25.69,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,5,4,4,21,1,4,26,7.6,83,INDONESIA,Asia,SULAWESI,-1.105,123.573,6,,,,,,,,,,,,3,,,,,,,264,3,46,1,30,4,,,10000,4
2000,6,18,14,44,1,4,10,7.9,60,AUSTRALIA,Australia,SOUTH INDIAN OCEAN,-13.802,97.453,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,1,7,1,1,4,10,6.1,85,JAPAN,Asia,"KOZU-SHIMA ISLAND, HONSHU",34.221,139.131,0.07,,,,,,,,,,,,,,,,,,,,3,1,1,,1,,,,
2000,7,15,1,30,1,4,10,6.1,85,JAPAN,Asia,HONSHU: S COAST,34.319,139.26,0.07,,,,,,,,,,,,,,,,,,,10,1,,,,1,20,1,,
2000,7,30,12,25,1,4,10,6.5,85,JAPAN,Asia,HONSHU: S COAST,33.901,139.376,0.14,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,
2000,11,4,19,30,8,1,0,,88,USA,North America,"POINT ARGUELLO, S. CALIFORNIA",34.5,-120.65,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,11,16,4,54,1,4,33,8,82,PAPUA NEW GUINEA,Oceania,BISMARCK SEA,-3.98,152.169,3,,,,,,,,,,,,2,,,,,,,,,2,1,,2,,,,3
2000,11,21,18,4,8,4,,,72,GREENLAND,Europe,PAATUUT (WEST GREENLAND),70.25,-52.75,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
